publication_number,title,assignee,filing_date,publication_date,patent_type
US-2025068764-A1,Protecting sensitive user information in developing artificial intelligence models ,"Microsoft Technology Licensing, Llc",2023-08-24,2025-02-27,A1
US-2024296316-A1,Generative artificial intelligence development system ,"Microsoft Technology Licensing, Llc",2023-03-03,2024-09-05,A1
US-2024296315-A1,Artificial intelligence prompt processing and storage system ,"Microsoft Technology Licensing, Llc",2023-03-03,2024-09-05,A1
US-2024412029-A1,Augmenting artificial intelligence prompt design with emotional context ,"Microsoft Technology Licensing, Llc",2023-06-08,2024-12-12,A1
US-11968088-B1,Artificial intelligence for intent-based networking ,"Microsoft Technology Licensing, Llc",2023-06-07,2024-04-23,B1
US-12045589-B2,Software development improvement stage optimization ,"Microsoft Technology Licensing, Llc",2022-05-26,2024-07-23,B2
US-2024004623-A1,Syntax subtree code strengthening ,"Microsoft Technology Licensing, Llc",2022-07-01,2024-01-04,A1
US-2024354503-A1,Generative thought starters ,"Microsoft Technology Licensing, Llc",2023-04-21,2024-10-24,A1
US-2025110957-A1,Dynamic query planning and execution ,"Microsoft Technology Licensing, Llc",2023-10-02,2025-04-03,A1
US-2025321991-A1,Confidence enhancement for responses by document-based large language models ,"Microsoft Technology Licensing, Llc",2023-03-05,2025-10-16,A1
US-11947902-B1,Efficient multi-turn generative AI model suggested message generation ,"Microsoft Technology Licensing, Llc",2023-03-03,2024-04-02,B1
US-12475315-B2,Adapting foundation models for information synthesis of wireless communication specifications ,"Microsoft Technology Licensing, Llc",2023-03-31,2025-11-18,B2
US-12463923-B2,Leveraging inferred context to improve suggested messages ,"Microsoft Technology Licensing, Llc",2023-03-03,2025-11-04,B2
US-2025005050-A1,Generative summarization dialog-based information retrieval system ,"Microsoft Technology Licensing, Llc",2023-06-29,2025-01-02,A1
US-2025005288-A1,Directive generative thread-based user assistance system ,"Microsoft Technology Licensing, Llc",2023-06-30,2025-01-02,A1
US-12505308-B2,Research activities through conversational user experience using multi-modal large pretrained models ,"Microsoft Technology Licensing, Llc",2023-06-22,2025-12-23,B2
US-12547707-B2,Connecting natural and security language in the embedding space for better threat hunting and incident response ,"Microsoft Technology Licensing, Llc",2023-06-23,2026-02-10,B2
US-12184498-B2,Networked device discovery and management ,"Microsoft Technology Licensing, Llc",2022-05-12,2024-12-31,B2
US-2024273291-A1,Generative collaborative publishing system ,"Microsoft Technology Licensing, Llc",2023-02-15,2024-08-15,A1
US-12184646-B2,Networked device security posture management ,"Microsoft Technology Licensing, Llc",2022-05-12,2024-12-31,B2
US-2024273306-A1,Generative collaborative publishing system ,"Microsoft Technology Licensing, Llc",2023-02-15,2024-08-15,A1
US-2024296425-A1,Automated description generation for job posting ,"Microsoft Technology Licensing, Llc",2023-03-03,2024-09-05,A1
US-12566916-B2,Generative collaborative publishing system ,"Microsoft Technology Licensing, Llc",2023-02-15,2026-03-03,B2
US-12363163-B2,NLP based identification of cyberattack classifications ,"Microsoft Technology Licensing, Llc",2022-01-13,2025-07-15,B2
US-2024346255-A1,Contextual knowledge summarization with large language models ,"Microsoft Technology Licensing, Llc",2023-04-14,2024-10-17,A1
US-12254008-B2,Responding to task prompt on declarative code using language model ,"Microsoft Technology Licensing, Llc",2022-06-24,2025-03-18,B2
US-2024169974-A1,Real-time system for spoken natural stylistic conversations with large language models ,"Microsoft Technology Licensing, Llc",2022-11-21,2024-05-23,A1
US-2023229960-A1,"Systems and methods for facilitating integrative, extensible, composable, and interpretable deep learning ","Microsoft Technology Licensing, Llc",2022-01-19,2023-07-20,A1
US-12505307-B2,Natural language training and/or augmentation with large language models ,"Microsoft Technology Licensing, Llc",2023-04-12,2025-12-23,B2
US-2024331235-A1,User interface for generating and manipulating molecular images with natural language instructions ,"Microsoft Technology Licensing, Llc",2023-03-31,2024-10-03,A1
EP-4695718-A1,Response generation using a retrieval augmented ai model ,"Microsoft Technology Licensing, LLC",2023-04-12,2026-02-18,A1
US-2024201983-A1,Software development artifact name generation ,"Microsoft Technology Licensing, Llc",2022-12-20,2024-06-20,A1
US-2025111147-A1,Automatic language model (lm) input optimization using textual gradients ,"Microsoft Technology Licensing, Llc",2023-09-29,2025-04-03,A1
US-12165631-B2,Keyword-based dialogue summarizer ,"Microsoft Technology Licensing, Llc",2022-05-03,2024-12-10,B2
EP-4266195-A1,Training of text and image models ,"Microsoft Technology Licensing, LLC",2022-04-19,2023-10-25,A1
US-12536387-B2,Task decomposition for LLM integrations with spreadsheet environments ,"Microsoft Technology Licensing, Llc",2023-03-10,2026-01-27,B2
US-2024414107-A1,Increasing security and reducing technical confusion through conversational browser ,"Microsoft Technology Licensing, Llc",2023-06-12,2024-12-12,A1
US-2024362417-A1,Readability based confidence score for large language models ,"Microsoft Technology Licensing, Llc",2023-04-27,2024-10-31,A1
US-12255749-B2,Meeting insights with large language models ,"Microsoft Technology Licensing, Llc",2022-12-19,2025-03-18,B2
US-2024338860-A1,Text and image generation for creation of imagery from audible input ,"Microsoft Technology Licensing, Llc",2023-04-05,2024-10-10,A1
US-2024354130-A1,Contextual artificial intelligence (ai) based writing assistance ,"Microsoft Technology Licensing, Llc",2023-04-21,2024-10-24,A1
US-2024296314-A1,Generative artificial intelligence (ai) system ,"Microsoft Technology Licensing, Llc",2023-03-03,2024-09-05,A1
US-2025045148-A1,Detecting and repairing reliability issues in operating systems and applications using a generative artificial intelligence system ,"Microsoft Technology Licensing, Llc",2023-07-31,2025-02-06,A1
US-2024346566-A1,Content recommendation using retrieval augmented artificial intelligence ,"Microsoft Technology Licensing, Llc",2023-04-12,2024-10-17,A1
US-12332896-B1,Generative graph-enhanced information retrieval ,"Microsoft Technology Licensing, Llc",2023-12-13,2025-06-17,B1
US-2024345911-A1,Machine learning aided diagnosis and prognosis of large scale distributed systems ,"Microsoft Technology Licensing, Llc",2023-04-14,2024-10-17,A1
US-12216674-B2,Systems and methods for writing feedback using an artificial intelligence engine ,"Microsoft Technology Licensing, Llc",2023-03-06,2025-02-04,B2
